SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
71,Acianthus apprimus,,Acianthus,2,Acianthus apprimus,D.L.Jones,Acianthus,2,1851,1,FALSE,0.8,0,,Acianthus fornicatus,R.Br.,1869,Orchidaceae,,Acianthus fornicatus,
72,Grastidium cancroides,,Grastidium,2,Grastidium cancroides,(T.E.Hunt) Rauschert,Grastidium,2,92438,1,FALSE,0.8,0,,Dendrobium cancroides,T.E.Hunt,57314,Orchidaceae,,Dendrobium cancroides,
73,Corunastylis cuspidata,,Corunastylis,2,Corunastylis cuspidata,D.L.Jones & L.M.Copel.,Corunastylis,2,529042,1,FALSE,0.8,0,,Genoplesium cuspidatum,(D.L.Jones & L.M.Copel.) J.M.H.Shaw,534253,Orchidaceae,,Genoplesium cuspidatum,
74,Goodyera ochroleuca,,Goodyera,2,Goodyera ochroleuca,F.M.Bailey,Goodyera,2,91877,1,FALSE,0.8,0,,Goodyera rubicunda,(Blume) Lindl.,91915,Orchidaceae,,Goodyera rubicunda,
75,Dendrobium speciosum ssp. curvicaule,,Dendrobium,3,Dendrobium speciosum subsp. curvicaule,(F.M.Bailey) D.P.Banks & Clemesha,Dendrobium,3,59124,1,FALSE,0.7,2,,Dendrobium speciosum var. curvicaule,F.M.Bailey,59125,Orchidaceae,,Dendrobium speciosum,
76,Plexaure crassiuscula,,Plexaure,2,Plexaure crassiuscula,(Nicholls) M.A.Clem. & D.L.Jones,Plexaure,2,259296,1,FALSE,0.8,0,,Phreatia crassiuscula,Nicholls,152954,Orchidaceae,,Phreatia crassiuscula,
77,Dendrobium speciosum ssp. grandiflorum,,Dendrobium,3,Dendrobium speciosum subsp. grandiflorum,(F.M.Bailey) D.P.Banks & Clemesha,Dendrobium,3,59128,1,FALSE,0.7,2,,Dendrobium speciosum var. grandiflorum,F.M.Bailey,59129,Orchidaceae,,Dendrobium speciosum,
78,Bulbophyllum sladeanum,,Bulbophyllum,2,Bulbophyllum sladeanum,A.D.Hawkes,Bulbophyllum,2,27396,1,FALSE,0.8,0,,Bulbophyllum macphersonii var. spathulatum,Dockrill & St.Cloud,26477,Orchidaceae,,Bulbophyllum macphersonii,
79,Pecteilis propinquior,,Pecteilis,2,Pecteilis propinquior,(Rchb.f.) M.A.Clem. & D.L.Jones,Pecteilis,2,535540,1,FALSE,0.8,0,,Habenaria propinquior,Rchb.f.,95411,Orchidaceae,,Habenaria propinquior,
80,Corunastylis trifida,,Corunastylis,2,Corunastylis trifida,(Rupp) D.L.Jones & M.A.Clem.,Corunastylis,2,234478,1,FALSE,0.8,0,,Genoplesium trifidum,(Rupp) M.A.M.Renner,537940,Orchidaceae,,Genoplesium trifidum,
81,Dienia montana,,Dienia,2,Dienia montana,(Blume) M.A.Clem. & D.L.Jones,Dienia,2,61819,1,FALSE,0.8,0,,Dienia ophrydis,(J.Koenig) Seidenf.,61822,Orchidaceae,,Dienia ophrydis,
82,Dockrillia rigida,,Dockrillia,2,Dockrillia rigida,(R.Br.) Rauschert,Dockrillia,2,63525,1,FALSE,0.8,0,,Dendrobium rigidum,R.Br.,58930,Orchidaceae,,Dendrobium rigidum,
83,Paraprasophyllum tortilis,,Paraprasophyllum,2,Paraprasophyllum tortilis,(D.L.Jones & R.J.Bates) M.A.Clem. & D.L.Jones,Paraprasophyllum,2,535356,1,FALSE,0.8,0,,Prasophyllum tortilis,D.L.Jones & R.J.Bates,526226,Orchidaceae,,Prasophyllum tortilis,
84,Cadetia maideniana,,Cadetia,2,Cadetia maideniana,(Schltr.) Schltr.,Cadetia,2,28380,1,FALSE,0.8,0,,,,,Orchidaceae,,Cadetia maideniana,
85,Trachoma speciosum,,Trachoma,2,Trachoma speciosum,"D.L.Jones, B.Gray, M.A.Clem. & J.J.Wood",Trachoma,2,207139,1,FALSE,0.8,0,,Trachoma rhopalorrhachis,(Rchb.f.) Garay,207137,Orchidaceae,,Trachoma rhopalorrhachis,
86,Papillilabium beckleri,,Papillilabium,2,Papillilabium beckleri,(F.Muell. ex Benth.) Dockrill,Papillilabium,2,147358,1,FALSE,0.8,0,,Plectorrhiza beckleri,"(F.Muell. ex Benth.) M.A.Clem., D.L.Jones & D.P.Banks",535699,Orchidaceae,,Plectorrhiza beckleri,
87,Oberonia palmicola,,Oberonia,2,Oberonia palmicola,F.Muell.,Oberonia,2,136522,1,FALSE,0.8,0,,Oberonia titania,Lindl.,136626,Orchidaceae,,Oberonia titania,
88,Phaius pictus,,Phaius,2,Phaius pictus,T.E.Hunt,Phaius,2,151077,1,FALSE,0.8,0,,Phaius robertsii,F.Muell.,151088,Orchidaceae,,Phaius robertsii,
89,Acianthus borealis,,Acianthus,2,Acianthus borealis,D.L.Jones,Acianthus,2,1854,1,FALSE,0.8,0,,Acianthus fornicatus,R.Br.,1869,Orchidaceae,,Acianthus fornicatus,
90,Corunastylis superba,,Corunastylis,2,Corunastylis superba,(D.L.Jones) D.L.Jones & M.A.Clem.,Corunastylis,2,234473,1,FALSE,0.8,0,,Genoplesium superbum,D.L.Jones,89190,Orchidaceae,,Genoplesium superbum,
91,Sarcochilus loganii,,Sarcochilus,2,Sarcochilus loganii,D.L.Jones & M.A.Clem.,Sarcochilus,2,531454,1,FALSE,0.8,0,,Sarcochilus hillii,(F.Muell.) F.Muell.,185006,Orchidaceae,,Sarcochilus hillii,
92,Corunastylis fuscoviridis,,Corunastylis,2,Corunastylis fuscoviridis,(Reader) D.L.Jones & M.A.Clem.,Corunastylis,2,528930,1,FALSE,0.8,0,,Genoplesium nigricans,(R.Br.) D.L.Jones & M.A.Clem.,89177,Orchidaceae,,Genoplesium nigricans,
93,Acianthus exiguus,,Acianthus,2,Acianthus exiguus,D.L.Jones,Acianthus,2,1867,1,FALSE,0.8,0,,Acianthus fornicatus,R.Br.,1869,Orchidaceae,,Acianthus fornicatus,
94,Paraprasophyllum jeaneganiae,,Paraprasophyllum,2,Paraprasophyllum jeaneganiae,(D.L.Jones) M.A.Clem. & D.L.Jones,Paraprasophyllum,2,535306,1,FALSE,0.8,0,,Prasophyllum jeaneganiae,D.L.Jones,535704,Orchidaceae,,Prasophyllum jeaneganiae,
95,Dendrobium melaleucaphilum,,Dendrobium,2,Dendrobium melaleucaphilum,M.A.Clem. & D.L.Jones,Dendrobium,2,58366,1,FALSE,0.8,0,,Dendrobium tetragonum var. melaleucaphilum,(M.A.Clem. & D.L.Jones) Dockrill,59276,Orchidaceae,,Dendrobium tetragonum,
96,Corunastylis carecta,,Corunastylis,2,Corunastylis carecta,D.L.Jones & L.M.Copel.,Corunastylis,2,520298,1,FALSE,0.8,0,,Genoplesium carectum,(D.L.Jones & L.M.Copel.) J.M.H.Shaw,525756,Orchidaceae,,Genoplesium carectum,
97,Corunastylis plumosa,,Corunastylis,2,Corunastylis plumosa,(Rupp) D.L.Jones & M.A.Clem.,Corunastylis,2,234464,1,FALSE,0.8,0,,Genoplesium plumosum,(Rupp) D.L.Jones & M.A.Clem.,89182,Orchidaceae,,Genoplesium plumosum,
98,Dockrillia dolichophylla,,Dockrillia,2,Dockrillia dolichophylla,(D.L.Jones & M.A.Clem.) M.A.Clem. & D.L.Jones,Dockrillia,2,63511,1,FALSE,0.8,0,,Dendrobium teretifolium var. aureum,F.M.Bailey,59262,Orchidaceae,,Dendrobium teretifolium,
99,Prasophyllum retroflexum,,Prasophyllum,2,Prasophyllum retroflexum,D.L.Jones,Prasophyllum,2,164803,1,FALSE,0.8,0,,Prasophyllum morganii,Nicholls,164761,Orchidaceae,,Prasophyllum morganii,
100,Corunastylis clivicola,,Corunastylis,2,Corunastylis clivicola,D.L.Jones,Corunastylis,2,346572,1,FALSE,0.8,0,,Genoplesium clivicola,(D.L.Jones) J.M.H.Shaw,490635,Orchidaceae,,Genoplesium clivicola,
101,Dockrillia bowmanii,,Dockrillia,2,Dockrillia bowmanii,(Benth.) M.A.Clem. & D.L.Jones,Dockrillia,2,63500,1,FALSE,0.8,0,,Dendrobium bowmanii,Benth.,57225,Orchidaceae,,Dendrobium bowmanii,
102,Corunastylis turfosa,,Corunastylis,2,Corunastylis turfosa,(D.L.Jones) D.L.Jones & M.A.Clem.,Corunastylis,2,234479,1,FALSE,0.8,0,,Genoplesium turfosum,D.L.Jones,89194,Orchidaceae,,Genoplesium turfosum,
103,Eriochilus dilatatus ssp. undulatus,,Eriochilus,3,Eriochilus dilatatus subsp. undulatus,Hopper & A.P.Br.,Eriochilus,3,346846,1,FALSE,0.7,2,,Eriochilus dilatatus subsp. brevifolius,(Benth.) Hopper & A.P.Br.,346842,Orchidaceae,,Eriochilus dilatatus,
