genus,success,error_msg,original_records,filtered_records,status
Acanthophippium,TRUE,,14,14,Success
Huttonaea,TRUE,,79,79,Success
Adrorhizon,TRUE,,2,2,Success
Taprobanea,TRUE,,24,22,Success
Discyphus,TRUE,,12,12,Success
Chondrorhyncha,TRUE,,6,6,Success
Schlimia,TRUE,,5,5,Success
Steveniella,TRUE,,18,18,Success
Thulinia,TRUE,,7,7,Success
Sirhookera,TRUE,,6,6,Success
Amoana,TRUE,,5,4,Success
Halleorchis,TRUE,,4,4,Success
Echinorhyncha,TRUE,,5,5,Success
Eloyella,TRUE,,7,7,Success
Cybebus,TRUE,,6,4,Success
Oligophyton,TRUE,,1,1,Success
Platyrhiza,TRUE,,24,24,Success
Phloeophila,TRUE,,14,9,Success
Triceratorhynchus,TRUE,,13,13,Success
Ambrella,TRUE,,2,2,Success
Teagueia,TRUE,,33,33,Success
Anguloa,TRUE,,21,20,Success
Trevoria,TRUE,,11,10,Success
Dracomonticola,TRUE,,33,33,Success
Neogardneria,TRUE,,5,5,Success
Pseudogoodyera,TRUE,,15,7,Success
Mexipedium,TRUE,,2,2,Success
Ixyophora,TRUE,,19,19,Success
Horvatia,TRUE,,1,1,Success
Coeliopsis,TRUE,,3,3,Success
Warreella,TRUE,,7,7,Success
Soterosanthus,TRUE,,12,12,Success
Saundersia,TRUE,,10,10,Success
Cardiochilos,TRUE,,4,4,Success
Chytroglossa,TRUE,,9,4,Success
Loefgrenianthus,TRUE,,8,8,Success
Adamantinia,TRUE,,0,0,No valid records
Lemurorchis,TRUE,,4,4,Success
Daiotyla,TRUE,,9,9,Success
Pterostemma,TRUE,,10,8,Success
Horichia,TRUE,,1,1,Success
Chamaegastrodia,TRUE,,6,6,Success
Svenkoeltzia,TRUE,,5,5,Success
Aetheorhyncha,TRUE,,2,2,Success
Diplocentrum,TRUE,,3,3,Success
Fuertesiella,TRUE,,4,4,Success
Cotylolabium,TRUE,,6,5,Success
Nothostele,TRUE,,5,5,Success
Dyakia,TRUE,,2,1,Success
Warreopsis,TRUE,,22,22,Success
Schuitemania,TRUE,,1,1,Success
Ephippianthus,TRUE,,10,10,Success
Aracamunia,TRUE,,3,3,Success
Hoehneella,TRUE,,3,3,Success
Neomoorea,TRUE,,6,6,Success
Cottonia,TRUE,,1,1,Success
Seidenfadenia,TRUE,,1,1,Success
Dryadorchis,TRUE,,2,2,Success
Notyliopsis,TRUE,,1,1,Success
Ouratea,TRUE,,1,1,Success
Sauvagesia,TRUE,,2,2,Success
Vriesea,TRUE,,1,1,Success
Lankesteriana,TRUE,,4,4,Success
Quiina,TRUE,,1,1,Success
Pygmaeorchis,TRUE,,1,1,Success
Endlicheria,TRUE,,1,1,Success
Psychopsiella,TRUE,,2,2,Success
Rauhiella,TRUE,,2,2,Success
Andreettaea,TRUE,,540,540,Success
Scybalium,TRUE,,1,1,Success
Cadetia,TRUE,,0,0,No valid records
Paracaleana,TRUE,,5,5,Success
Cyanicula,TRUE,,0,0,No valid records
Chauliodon,TRUE,,0,0,No valid records
Mengzia,TRUE,,1,1,Success
Gunnarella,TRUE,,10,10,Success
Taeniorrhiza,TRUE,,0,0,No valid records
Pectinariella,TRUE,,0,0,No valid records
