"Bioregion","Species","affinity","fidelity","indval"
"1","Stellamaris",0,0,0
"1","Stenia",0,0,0
"1","Stenoglottis",0,0,0
"1","Stenoptera",0,0,0
"1","Stenorrhynchos",0,0,0
"1","Stenotyla",0,0,0
"1","Stereochilus",0.00103412616339193,0.5,0.000517063081695967
"1","Stereosandra",0,0,0
"1","Steveniella",0.0062047569803516,1,0.0062047569803516
"1","Stichorkis",0,0,0
"1","Stigmatodactylus",0.0062047569803516,0.2,0.00124095139607032
"1","Strongyleria",0.00206825232678387,0.04,8.27300930713547e-05
"1","Suarezia",0,0,0
"1","Summerhayesia",0,0,0
"1","Svenkoeltzia",0,0,0
"1","Systeloglossum",0,0,0
"1","Taeniophyllum",0.0113753877973113,0.120879120879121,0.00137504687659807
"1","Tainia",0.00723888314374354,0.109375,0.000791752843846949
"1","Tamayorkis",0.0062047569803516,0.2,0.00124095139607032
"1","Taprobanea",0,0,0
"1","Teagueia",0,0,0
"1","Telipogon",0,0,0
"1","Tetramicra",0,0,0
"1","Teuscheria",0,0,0
"1","Thaia",0,0,0
"1","Thecopus",0,0,0
"1","Thecostele",0,0,0
"1","Thelasis",0.00103412616339193,0.0136986301369863,1.41661118272868e-05
"1","Thelymitra",0,0,0
"1","Thelyschista",0,0,0
"1","Thrixspermum",0.0144777662874871,0.123893805309735,0.00179370555774176
"1","Thulinia",0,0,0
"1","Thunia",0.00723888314374354,0.388888888888889,0.00281512122256693
"1","Thysanoglossa",0,0,0
"1","Tipularia",0.0682523267838676,0.970588235294118,0.0662449054078715
"1","Tolumnia",0,0,0
"1","Townsonia",0,0,0
"1","Trachoma",0,0,0
"1","Traunsteinera",0.0330920372285419,1,0.0330920372285419
"1","Trevoria",0,0,0
"1","Triceratorhynchus",0,0,0
"1","Trichocentrum",0.00103412616339193,0.00359712230215827,3.7198782855825e-06
"1","Trichoceros",0,0,0
"1","Trichoglottis",0,0,0
"1","Trichopilia",0,0,0
"1","Trichosalpinx",0,0,0
"1","Trichotosia",0.00103412616339193,0.0101010101010101,1.04457188221407e-05
"1","Tridactyle",0,0,0
"1","Triphora",0.0455015511892451,0.444444444444444,0.0202229116396645
"1","Trisetella",0,0,0
"1","Trizeuxis",0,0,0
"1","Tropidia",0.00827300930713547,0.0695652173913043,0.000575513690931163
"1","Tsaiorchis",0,0,0
"1","Tuberolabium",0,0,0
"1","Tylostigma",0,0,0
"1","Uleiorchis",0,0,0
"1","Uncifera",0.00206825232678387,0.4,0.000827300930713547
"1","Vanda",0.0217166494312306,0.203883495145631,0.00442766638889168
"1","Vandopsis",0,0,0
"1","Vanilla",0.00206825232678387,0.00467289719626168,9.66473049899004e-06
"1","Vargasiella",0,0,0
"1","Vasqueziella",0,0,0
"1","Veyretella",0,0,0
"1","Veyretia",0,0,0
"1","Vitekorchis",0,0,0
"1","Vrydagzynea",0,0,0
"1","Waireia",0,0,0
"1","Warczewiczella",0,0,0
"1","Warmingia",0,0,0
"1","Warrea",0,0,0
"1","Warreella",0,0,0
"1","Warreopsis",0,0,0
"1","Wullschlaegelia",0,0,0
"1","Xerorchis",0,0,0
"1","Xylobium",0,0,0
"1","Yoania",0.0134436401240951,0.928571428571429,0.0124833801152312
"1","Ypsilopus",0,0,0
"1","Zelenkoa",0,0,0
"1","Zeuxine",0.0144777662874871,0.0828402366863905,0.00119934158594567
"1","Zootrophion",0,0,0
"1","Zygopetalum",0,0,0
"1","Zygosepalum",0,0,0
"1","Zygostates",0,0,0
"2","Acanthophippium",0,0,0
"2","Achlydosa",0,0,0
"2","Acianthera",0,0,0
"2","Acianthus",0.532110091743119,0.892307692307692,0.474805928016937
"2","Acineta",0,0,0
