"Species","Group","Stat","P_value","IndVal_diff","Count_Group_1","Count_Group_2","Count_Group_3","Count_Group_4","Count_Group_5","Count_Group_6","Perc_Group_1","Perc_Group_2","Perc_Group_3","Perc_Group_4","Perc_Group_5","Perc_Group_6","Total_Occurrences","Max_Percentage"
"Platanthera unalascensis","1",0.280239239603615,0.047,0.280239239603615,75,0,0,0,0,0,100,0,0,0,0,0,75,100
"Corallorhiza striata","1",0.278671602713899,0.096,0.196619115744977,96,0,0,0,14,0,87.3,0,0,0,12.7,0,110,87.3
"Cypripedium reginae","1",0.27836470860144,0.036,0.27836470860144,74,0,0,0,0,0,100,0,0,0,0,0,74,100
"Goodyera pubescens","1",0.276541658017761,0.059,0.269097055243781,75,0,0,0,1,0,98.7,0,0,0,1.3,0,76,98.7
"Anacamptis palustris","1",0.274577257173765,0.053,0.274577257173765,72,0,0,0,0,0,100,0,0,0,0,0,72,100
"Anacamptis laxiflora","1",0.270736826677443,0.041,0.270736826677443,70,0,0,0,0,0,100,0,0,0,0,0,70,100
"Orchis anthropophora","1",0.268796035872041,0.04,0.268796035872041,69,0,0,0,0,0,100,0,0,0,0,0,69,100
"Platanthera blephariglottis","1",0.266841129666465,0.035,0.266841129666465,68,0,0,0,0,0,100,0,0,0,0,0,68,100
"Ophrys fusca","1",0.264871795521583,0.042,0.264871795521583,67,0,0,0,0,0,100,0,0,0,0,0,67,100
"Goodyera tesselata","1",0.262887709191546,0.041,0.262887709191546,66,0,0,0,0,0,100,0,0,0,0,0,66,100
"Platanthera hookeri","1",0.254796911222617,0.038,0.254796911222617,62,0,0,0,0,0,100,0,0,0,0,0,62,100
"Ophrys holosericea","1",0.252733744382776,0.04,0.252733744382776,61,0,0,0,0,0,100,0,0,0,0,0,61,100
"Corallorhiza wisteriana","1",0.252138344874536,0.069,0.18034582270543,78,0,0,0,11,0,87.6,0,0,0,12.4,0,89,87.6
"Ophrys lutea","1",0.250653595886614,0.024,0.250653595886614,60,0,0,0,0,0,100,0,0,0,0,0,60,100
"Platanthera fuscescens","1",0.250653595886614,0.029,0.250653595886614,60,0,0,0,0,0,100,0,0,0,0,0,60,100
"Epipactis microphylla","1",0.248556039379537,0.032,0.248556039379537,59,0,0,0,0,0,100,0,0,0,0,0,59,100
"Galearis spectabilis","1",0.248556039379537,0.038,0.248556039379537,59,0,0,0,0,0,100,0,0,0,0,0,59,100
"Spiranthes tuberosa","1",0.248556039379537,0.027,0.248556039379537,59,0,0,0,0,0,100,0,0,0,0,0,59,100
"Gymnadenia densiflora","1",0.246440630361947,0.028,0.246440630361947,58,0,0,0,0,0,100,0,0,0,0,0,58,100
"Epipactis gigantea","1",0.242853398504383,0.073,0.153702910104734,77,0,0,0,14,0,84.6,0,0,0,15.4,0,91,84.6
"Anacamptis papilionacea","1",0.239982547358447,0.025,0.239982547358447,55,0,0,0,0,0,100,0,0,0,0,0,55,100
"Neotinea tridentata","1",0.239982547358447,0.03,0.239982547358447,55,0,0,0,0,0,100,0,0,0,0,0,55,100
"Serapias lingua","1",0.239982547358447,0.027,0.239982547358447,55,0,0,0,0,0,100,0,0,0,0,0,55,100
"Corallorhiza mertensiana","1",0.237790880013934,0.026,0.237790880013934,54,0,0,0,0,0,100,0,0,0,0,0,54,100
"Orchis simia","1",0.23557882374898,0.025,0.23557882374898,53,0,0,0,0,0,100,0,0,0,0,0,53,100
"Platanthera ciliaris","1",0.233994969476841,0.031,0.221866600638285,55,1,0,0,0,0,98.2,1.8,0,0,0,0,56,98.2
"Aplectrum hyemale","1",0.233345798719636,0.027,0.233345798719636,52,0,0,0,0,0,100,0,0,0,0,0,52,100
"Himantoglossum hircinum","1",0.233345798719636,0.023,0.233345798719636,52,0,0,0,0,0,100,0,0,0,0,0,52,100
"Spiranthes vernalis","1",0.232787881586481,0.044,0.168696272827566,66,0,0,0,9,0,88,0,0,0,12,0,75,88
"Neotinea maculata","1",0.231091197065696,0.018,0.231091197065696,51,0,0,0,0,0,100,0,0,0,0,0,51,100
"Ophrys tenthredinifera","1",0.228814380978138,0.023,0.228814380978138,50,0,0,0,0,0,100,0,0,0,0,0,50,100
"Neottia banksiana","1",0.226514680591701,0.04,0.226514680591701,49,0,0,0,0,0,100,0,0,0,0,0,49,100
"Liparis liliifolia","1",0.224191391682892,0.067,0.224191391682892,48,0,0,0,0,0,100,0,0,0,0,0,48,100
