"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"159","Acacia robusta","Magnoliophyta","Fabales","Acacia robusta subsp. usambarensis","Fabaceae","Acacia","robusta","tree","152"
"160","Acacia rovumae","Magnoliophyta","Fabales","Acacia rovumae","Fabaceae","Acacia","rovumae","tree","14"
"161","Acacia schweinfurthii","Magnoliophyta","Fabales","Acacia schweinfurthii var. schweinfurthii","Fabaceae","Acacia","schweinfurthii","shrub","58"
"162","Acacia schweinfurthii","Magnoliophyta","Fabales","Acacia schweinfurthii var. sericea","Fabaceae","Acacia","schweinfurthii","shrub","58"
"163","Acacia senegal","Magnoliophyta","Fabales","Acacia senegal","Fabaceae","Acacia","senegal","tree","197"
"164","Acacia senegal","Magnoliophyta","Fabales","Acacia senegal var. rostrata","Fabaceae","Acacia","senegal","tree","197"
"165","Acacia senegal","Magnoliophyta","Fabales","Acacia senegal var. kerensis","Fabaceae","Acacia","senegal","tree","197"
"166","Acacia senegal","Magnoliophyta","Fabales","Acacia senegal var. senegal","Fabaceae","Acacia","senegal","tree","197"
"167","Acacia seyal","Magnoliophyta","Fabales","Acacia seyal","Fabaceae","Acacia","seyal","tree","139"
"168","Acacia seyal","Magnoliophyta","Fabales","Acacia seyal var. fistula","Fabaceae","Acacia","seyal","tree","139"
"169","Acacia seyal","Magnoliophyta","Fabales","Acacia seyal var. seyal","Fabaceae","Acacia","seyal","tree","139"
"170","Acacia sieberiana","Magnoliophyta","Fabales","Acacia sieberiana","Fabaceae","Acacia","sieberiana","tree","235"
"171","Acacia sieberiana","Magnoliophyta","Fabales","Acacia sieberiana var. sieberiana","Fabaceae","Acacia","sieberiana","tree","235"
"172","Acacia sieberiana","Magnoliophyta","Fabales","Acacia sieberiana var. villosa","Fabaceae","Acacia","sieberiana","tree","235"
"173","Acacia sieberiana","Magnoliophyta","Fabales","Acacia sieberiana var. woodii","Fabaceae","Acacia","sieberiana","tree","235"
"174","Acacia somalensis","Magnoliophyta","Fabales","Acacia somalensis","Fabaceae","Acacia","somalensis","shrub","1"
"175","Acacia stuhlmannii","Magnoliophyta","Fabales","Acacia stuhlmannii","Fabaceae","Acacia","stuhlmannii","tree","43"
"176","Acacia swazica","Magnoliophyta","Fabales","Acacia swazica","Fabaceae","Acacia","swazica","tree","4"
"177","Acacia tanganyikensis","Magnoliophyta","Fabales","Acacia tanganyikensis","Fabaceae","Acacia","tanganyikensis","tree","16"
"178","Acacia taylorii","Magnoliophyta","Fabales","Acacia taylorii","Fabaceae","Acacia","taylorii","liana","4"
"179","Acacia tenuispina","Magnoliophyta","Fabales","Acacia tenuispina","Fabaceae","Acacia","tenuispina","shrub","3"
"180","Acacia tephrophylla","Magnoliophyta","Fabales","Acacia tephrophylla","Fabaceae","Acacia","tephrophylla","tree","1"
"181","Acacia thomasii","Magnoliophyta","Fabales","Acacia thomasii","Fabaceae","Acacia","thomasii","tree","22"
"182","Acacia torrei","Magnoliophyta","Fabales","Acacia torrei","Fabaceae","Acacia","torrei","shrub","4"
"183","Acacia tortilis","Magnoliophyta","Fabales","Acacia tortilis subsp. tortilis","Fabaceae","Acacia","tortilis","tree","115"
"184","Acacia tortilis","Magnoliophyta","Fabales","Acacia tortilis subsp. heteracantha","Fabaceae","Acacia","tortilis","tree","115"
"185","Acacia tortilis","Magnoliophyta","Fabales","Acacia tortilis subsp. raddiana","Fabaceae","Acacia","tortilis","tree","115"
"186","Acacia tortilis","Magnoliophyta","Fabales","Acacia tortilis","Fabaceae","Acacia","tortilis","tree","115"
"187","Acacia tortilis","Magnoliophyta","Fabales","Acacia tortilis subsp. spirocarpa","Fabaceae","Acacia","tortilis","tree","115"
"188","Acacia turnbulliana","Magnoliophyta","Fabales","Acacia turnbulliana","Fabaceae","Acacia","turnbulliana","shrub","16"
"189","Acacia venosa","Magnoliophyta","Fabales","Acacia venosa","Fabaceae","Acacia","venosa","tree","1"
"190","Acacia welwitschii","Magnoliophyta","Fabales","Acacia welwitschii subsp. delagoensis","Fabaceae","Acacia","welwitschii","tree","8"
"191","Acacia welwitschii","Magnoliophyta","Fabales","Acacia welwitschii","Fabaceae","Acacia","welwitschii","tree","8"
"192","Acacia xanthophloea","Magnoliophyta","Fabales","Acacia xanthophloea","Fabaceae","Acacia","xanthophloea","tree","33"
"193","Acacia zanzibarica","Magnoliophyta","Fabales","Acacia zanzibarica","Fabaceae","Acacia","zanzibarica","shrub","50"
"194","Acacia zanzibarica","Magnoliophyta","Fabales","Acacia zanzibarica var. microphylla","Fabaceae","Acacia","zanzibarica","shrub","50"
"195","Acacia zanzibarica","Magnoliophyta","Fabales","Acacia zanzibarica var. zanzibarica","Fabaceae","Acacia","zanzibarica","shrub","50"
"196","Acacia zizyphispina","Magnoliophyta","Fabales","Acacia zizyphispina","Fabaceae","Acacia","zizyphispina","shrub","1"
"197","Acalypha acrogyna","Magnoliophyta","Malpighiales","Acalypha acrogyna","Euphorbiaceae","Acalypha","acrogyna","shrub","7"
"198","Acalypha allenii","Magnoliophyta","Malpighiales","Acalypha allenii","Euphorbiaceae","Acalypha","allenii","shrub","4"
"199","Acalypha ambigua","Magnoliophyta","Malpighiales","Acalypha ambigua","Euphorbiaceae","Acalypha","ambigua","herb","8"
"200","Acalypha angustata","Magnoliophyta","Malpighiales","Acalypha angustata","Euphorbiaceae","Acalypha","angustata","","3"
"201","Acalypha benguelensis","Magnoliophyta","Malpighiales","Acalypha benguelensis","Euphorbiaceae","Acalypha","benguelensis","shrublet","2"
"202","Acalypha bipartita","Magnoliophyta","Malpighiales","Acalypha bipartita","Euphorbiaceae","Acalypha","bipartita","shrub","15"
"203","Acalypha brachiata","Magnoliophyta","Malpighiales","Acalypha brachiata","Euphorbiaceae","Acalypha","brachiata","herb","165"
"204","Acalypha bussei","Magnoliophyta","Malpighiales","Acalypha bussei","Euphorbiaceae","Acalypha","bussei","herb","7"
"205","Acalypha chirindica","Magnoliophyta","Malpighiales","Acalypha chirindica","Euphorbiaceae","Acalypha","chirindica","shrub","46"
"206","Acalypha ciliata","Magnoliophyta","Malpighiales","Acalypha ciliata","Euphorbiaceae","Acalypha","ciliata","herb","69"
"207","Acalypha clutioides","Magnoliophyta","Malpighiales","Acalypha clutioides","Euphorbiaceae","Acalypha","clutioides","herb","7"
