"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"21642","Platycoryne paludosa","Magnoliophyta","Asparagales","Platycoryne paludosa","Orchidaceae","Platycoryne","paludosa","herb","15"
"21643","Platycoryne pervillei","Magnoliophyta","Asparagales","Platycoryne pervillei","Orchidaceae","Platycoryne","pervillei","herb","6"
"21644","Platycoryne protearum","Magnoliophyta","Asparagales","Platycoryne protearum var. protearum","Orchidaceae","Platycoryne","protearum","herb","2"
"21645","Platylepis glandulosa","Magnoliophyta","Asparagales","Platylepis glandulosa","Orchidaceae","Platylepis","glandulosa","herb","59"
"21646","Platylophus trifoliatus","Magnoliophyta","Oxalidales","Platylophus trifoliatus","Cunoniaceae","Platylophus","trifoliatus","tree","1"
"21647","Platypterocarpus tanganyikensis","Magnoliophyta","Celastrales","Platypterocarpus tanganyikensis","Celastraceae","Platypterocarpus","tanganyikensis","tree","4"
"21648","Platysepalum bambidiense","Magnoliophyta","Fabales","Platysepalum bambidiense","Fabaceae","Platysepalum","bambidiense","liana","3"
"21649","Platysepalum chevalieri","Magnoliophyta","Fabales","Platysepalum chevalieri","Fabaceae","Platysepalum","chevalieri","tree","19"
"21650","Platysepalum chevalieri","Magnoliophyta","Fabales","Platysepalum chevalieri var. aureum","Fabaceae","Platysepalum","chevalieri","tree","19"
"21651","Platysepalum chevalieri","Magnoliophyta","Fabales","Platysepalum chevalieri var. chevalieri","Fabaceae","Platysepalum","chevalieri","tree","19"
"21652","Platysepalum chrysophyllum","Magnoliophyta","Fabales","Platysepalum chrysophyllum","Fabaceae","Platysepalum","chrysophyllum","liana","5"
"21653","Platysepalum hirsutum","Magnoliophyta","Fabales","Platysepalum hirsutum","Fabaceae","Platysepalum","hirsutum","liana","77"
"21654","Platysepalum hypoleucum","Magnoliophyta","Fabales","Platysepalum hypoleucum","Fabaceae","Platysepalum","hypoleucum","tree","3"
"21655","Platysepalum inopinatum","Magnoliophyta","Fabales","Platysepalum inopinatum","Fabaceae","Platysepalum","inopinatum","tree","14"
"21656","Platysepalum poggei","Magnoliophyta","Fabales","Platysepalum poggei","Fabaceae","Platysepalum","poggei","shrub","5"
"21657","Platysepalum pulchrum","Magnoliophyta","Fabales","Platysepalum pulchrum","Fabaceae","Platysepalum","pulchrum","liana","26"
"21658","Platysepalum scaberulum","Magnoliophyta","Fabales","Platysepalum scaberulum","Fabaceae","Platysepalum","scaberulum","shrub","1"
"21659","Platysepalum vanderystii","Magnoliophyta","Fabales","Platysepalum vanderystii","Fabaceae","Platysepalum","vanderystii","shrub","21"
"21660","Platysepalum violaceum","Magnoliophyta","Fabales","Platysepalum violaceum","Fabaceae","Platysepalum","violaceum","tree","71"
"21661","Platysepalum violaceum","Magnoliophyta","Fabales","Platysepalum violaceum var. violaceum","Fabaceae","Platysepalum","violaceum","tree","71"
"21662","Platysepalum violaceum","Magnoliophyta","Fabales","Platysepalum violaceum var. vanhouttei","Fabaceae","Platysepalum","violaceum","tree","71"
"21663","Platytinospora buchholzii","Magnoliophyta","Ranunculales","Platytinospora buchholzii","Menispermaceae","Platytinospora","buchholzii","liana","7"
"21664","Platytinospora buchholzii","Magnoliophyta","Ranunculales","Platytinospora buchholzii var. buchholzii","Menispermaceae","Platytinospora","buchholzii","liana","7"
"21665","Plectocephalus varians","Magnoliophyta","Asterales","Plectocephalus varians","Asteraceae","Plectocephalus","varians","herb","28"
"21666","Plectranthastrum cylindricalyx","Magnoliophyta","Lamiales","Plectranthastrum cylindricalyx","Lamiaceae","Plectranthastrum","cylindricalyx","herb","1"
"21667","Plectranthastrum rosmarinifolium","Magnoliophyta","Lamiales","Plectranthastrum rosmarinifolium","Lamiaceae","Plectranthastrum","rosmarinifolium","herb","88"
"21668","Plectranthus acaulis","Magnoliophyta","Lamiales","Plectranthus acaulis","Lamiaceae","Plectranthus","acaulis","shrub","5"
"21669","Plectranthus adenophorus","Magnoliophyta","Lamiales","Plectranthus adenophorus","Lamiaceae","Plectranthus","adenophorus","herb","1"
"21670","Plectranthus aegyptiacus","Magnoliophyta","Lamiales","Plectranthus aegyptiacus","Lamiaceae","Plectranthus","aegyptiacus","herb","11"
"21671","Plectranthus africanus","Magnoliophyta","Lamiales","Plectranthus africanus","Lamiaceae","Plectranthus","africanus","herb","27"
"21672","Plectranthus agnewii","Magnoliophyta","Lamiales","Plectranthus agnewii","Lamiaceae","Plectranthus","agnewii","herb","1"
"21673","Plectranthus alboviolaceus","Magnoliophyta","Lamiales","Plectranthus alboviolaceus","Lamiaceae","Plectranthus","alboviolaceus","shrub","13"
"21674","Plectranthus alpinus","Magnoliophyta","Lamiales","Plectranthus alpinus","Lamiaceae","Plectranthus","alpinus","herb","23"
"21675","Plectranthus amboinicus","Magnoliophyta","Lamiales","Plectranthus amboinicus","Lamiaceae","Plectranthus","amboinicus","herb","2"
"21676","Plectranthus annuus","Magnoliophyta","Lamiales","Plectranthus annuus","Lamiaceae","Plectranthus","annuus","herb","1"
"21677","Plectranthus auriglandulosus","Magnoliophyta","Lamiales","Plectranthus auriglandulosus","Lamiaceae","Plectranthus","auriglandulosus","shrub","5"
"21678","Plectranthus autranii","Magnoliophyta","Lamiales","Plectranthus autranii","Lamiaceae","Plectranthus","autranii","herb","15"
"21679","Plectranthus barbatus","Magnoliophyta","Lamiales","Plectranthus barbatus var. grandis","Lamiaceae","Plectranthus","barbatus","shrub","48"
"21680","Plectranthus barbatus","Magnoliophyta","Lamiales","Plectranthus barbatus","Lamiaceae","Plectranthus","barbatus","shrub","48"
"21681","Plectranthus barbatus","Magnoliophyta","Lamiales","Plectranthus barbatus var. barbatus","Lamiaceae","Plectranthus","barbatus","shrub","48"
"21682","Plectranthus baumii","Magnoliophyta","Lamiales","Plectranthus baumii","Lamiaceae","Plectranthus","baumii","shrub","3"
"21683","Plectranthus betonicifolius","Magnoliophyta","Lamiales","Plectranthus betonicifolius","Lamiaceae","Plectranthus","betonicifolius","herb","15"
"21684","Plectranthus bojeri","Magnoliophyta","Lamiales","Plectranthus bojeri","Lamiaceae","Plectranthus","bojeri","herb","129"
"21685","Plectranthus bracteolatus","Magnoliophyta","Lamiales","Plectranthus bracteolatus","Lamiaceae","Plectranthus","bracteolatus","shrub","9"
"21686","Plectranthus buchananii","Magnoliophyta","Lamiales","Plectranthus buchananii","Lamiaceae","Plectranthus","buchananii","herb","6"
"21687","Plectranthus burorum","Magnoliophyta","Lamiales","Plectranthus burorum","Lamiaceae","Plectranthus","burorum","herb","2"
"21688","Plectranthus caespitosus","Magnoliophyta","Lamiales","Plectranthus caespitosus","Lamiaceae","Plectranthus","caespitosus","shrub","1"
"21689","Plectranthus candelabriformis","Magnoliophyta","Lamiales","Plectranthus candelabriformis","Lamiaceae","Plectranthus","candelabriformis","herb","4"
"21690","Plectranthus caninus","Magnoliophyta","Lamiales","Plectranthus caninus","Lamiaceae","Plectranthus","caninus","herb","23"
"21691","Plectranthus cataractarum","Magnoliophyta","Lamiales","Plectranthus cataractarum","Lamiaceae","Plectranthus","cataractarum","herb","6"
"21692","Plectranthus chevalieri","Magnoliophyta","Lamiales","Plectranthus chevalieri","Lamiaceae","Plectranthus","chevalieri","herb","1"
"21693","Plectranthus chimanimanensis","Magnoliophyta","Lamiales","Plectranthus chimanimanensis","Lamiaceae","Plectranthus","chimanimanensis","shrub","1"
"21694","Plectranthus coeruleus","Magnoliophyta","Lamiales","Plectranthus coeruleus","Lamiaceae","Plectranthus","coeruleus","herb","1"
"21695","Plectranthus confertiflorus","Magnoliophyta","Lamiales","Plectranthus confertiflorus","Lamiaceae","Plectranthus","confertiflorus","shrub","7"
"21696","Plectranthus conglomeratus","Magnoliophyta","Lamiales","Plectranthus conglomeratus","Lamiaceae","Plectranthus","conglomeratus","herb","1"
"21697","Plectranthus crassus","Magnoliophyta","Lamiales","Plectranthus crassus","Lamiaceae","Plectranthus","crassus","shrub","11"
"21698","Plectranthus cuneatus","Magnoliophyta","Lamiales","Plectranthus cuneatus","Lamiaceae","Plectranthus","cuneatus","shrub","1"
"21699","Plectranthus daviesii","Magnoliophyta","Lamiales","Plectranthus daviesii","Lamiaceae","Plectranthus","daviesii","herb","3"
"21700","Plectranthus decumbens","Magnoliophyta","Lamiales","Plectranthus decumbens","Lamiaceae","Plectranthus","decumbens","herb","18"
"21701","Plectranthus decurrens","Magnoliophyta","Lamiales","Plectranthus decurrens","Lamiaceae","Plectranthus","decurrens","herb","41"
"21702","Plectranthus defoliatus","Magnoliophyta","Lamiales","Plectranthus defoliatus","Lamiaceae","Plectranthus","defoliatus","herb","11"
"21703","Plectranthus densus","Magnoliophyta","Lamiales","Plectranthus densus","Lamiaceae","Plectranthus","densus","herb","1"
"21704","Plectranthus dichotomus","Magnoliophyta","Lamiales","Plectranthus dichotomus","Lamiaceae","Plectranthus","dichotomus","herb","3"
"21705","Plectranthus dissectus","Magnoliophyta","Lamiales","Plectranthus dissectus","Lamiaceae","Plectranthus","dissectus","herb","13"
"21706","Plectranthus dissitiflorus","Magnoliophyta","Lamiales","Plectranthus dissitiflorus","Lamiaceae","Plectranthus","dissitiflorus","shrub","1"
"21707","Plectranthus djalonensis","Magnoliophyta","Lamiales","Plectranthus djalonensis","Lamiaceae","Plectranthus","djalonensis","herb","51"
"21708","Plectranthus dupuisii","Magnoliophyta","Lamiales","Plectranthus dupuisii","Lamiaceae","Plectranthus","dupuisii","herb","24"
"21709","Plectranthus efoliatus","Magnoliophyta","Lamiales","Plectranthus efoliatus","Lamiaceae","Plectranthus","efoliatus","herb","4"
"21710","Plectranthus elegans","Magnoliophyta","Lamiales","Plectranthus elegans","Lamiaceae","Plectranthus","elegans","shrub","22"
"21711","Plectranthus epilithicus","Magnoliophyta","Lamiales","Plectranthus epilithicus","Lamiaceae","Plectranthus","epilithicus","herb","82"
"21712","Plectranthus equisetiformis","Magnoliophyta","Lamiales","Plectranthus equisetiformis","Lamiaceae","Plectranthus","equisetiformis","herb","3"
"21713","Plectranthus esculentus","Magnoliophyta","Lamiales","Plectranthus esculentus","Lamiaceae","Plectranthus","esculentus","herb","21"
"21714","Plectranthus flaccidus","Magnoliophyta","Lamiales","Plectranthus flaccidus","Lamiaceae","Plectranthus","flaccidus","herb","17"
"21715","Plectranthus fruticosus","Magnoliophyta","Lamiales","Plectranthus fruticosus","Lamiaceae","Plectranthus","fruticosus","shrub","1"
"21716","Plectranthus garckeanus","Magnoliophyta","Lamiales","Plectranthus garckeanus","Lamiaceae","Plectranthus","garckeanus","herb","4"
"21717","Plectranthus gillettii","Magnoliophyta","Lamiales","Plectranthus gillettii","Lamiaceae","Plectranthus","gillettii","shrub","1"
"21718","Plectranthus glandulosus","Magnoliophyta","Lamiales","Plectranthus glandulosus","Lamiaceae","Plectranthus","glandulosus","herb","37"
"21719","Plectranthus gracilis","Magnoliophyta","Lamiales","Plectranthus gracilis","Lamiaceae","Plectranthus","gracilis","herb","3"
"21720","Plectranthus gracillimus","Magnoliophyta","Lamiales","Plectranthus gracillimus","Lamiaceae","Plectranthus","gracillimus","herb","13"
"21721","Plectranthus guerkei","Magnoliophyta","Lamiales","Plectranthus guerkei","Lamiaceae","Plectranthus","guerkei","herb","25"
"21722","Plectranthus hadiensis","Magnoliophyta","Lamiales","Plectranthus hadiensis","Lamiaceae","Plectranthus","hadiensis","vine","21"
"21723","Plectranthus hadiensis","Magnoliophyta","Lamiales","Plectranthus hadiensis var. tomentosus","Lamiaceae","Plectranthus","hadiensis","vine","21"
"21724","Plectranthus hallii","Magnoliophyta","Lamiales","Plectranthus hallii","Lamiaceae","Plectranthus","hallii","herb","1"
"21725","Plectranthus harrisii","Magnoliophyta","Lamiales","Plectranthus harrisii","Lamiaceae","Plectranthus","harrisii","herb","2"
"21726","Plectranthus hereroensis","Magnoliophyta","Lamiales","Plectranthus hereroensis","Lamiaceae","Plectranthus","hereroensis","herb","1"
"21727","Plectranthus hockii","Magnoliophyta","Lamiales","Plectranthus hockii","Lamiaceae","Plectranthus","hockii","herb","8"
"21728","Plectranthus humulopsis","Magnoliophyta","Lamiales","Plectranthus humulopsis","Lamiaceae","Plectranthus","humulopsis","shrub","4"
"21729","Plectranthus igniarioides","Magnoliophyta","Lamiales","Plectranthus igniarioides","Lamiaceae","Plectranthus","igniarioides","shrub","1"
"21730","Plectranthus igniarius","Magnoliophyta","Lamiales","Plectranthus igniarius","Lamiaceae","Plectranthus","igniarius","shrub","4"
"21731","Plectranthus ignotus","Magnoliophyta","Lamiales","Plectranthus ignotus","Lamiaceae","Plectranthus","ignotus","herb","2"
"21732","Plectranthus inselbergi","Magnoliophyta","Lamiales","Plectranthus inselbergi","Lamiaceae","Plectranthus","inselbergi","herb","14"
"21733","Plectranthus insignis","Magnoliophyta","Lamiales","Plectranthus insignis","Lamiaceae","Plectranthus","insignis","shrub","7"
"21734","Plectranthus intrusus","Magnoliophyta","Lamiales","Plectranthus intrusus","Lamiaceae","Plectranthus","intrusus","","4"
"21735","Plectranthus janthinothryx","Magnoliophyta","Lamiales","Plectranthus janthinothryx","Lamiaceae","Plectranthus","janthinothryx","shrub","18"
"21736","Plectranthus kamerunensis","Magnoliophyta","Lamiales","Plectranthus kamerunensis","Lamiaceae","Plectranthus","kamerunensis","herb","29"
"21737","Plectranthus kapatensis","Magnoliophyta","Lamiales","Plectranthus kapatensis","Lamiaceae","Plectranthus","kapatensis","herb","8"
"21738","Plectranthus kivuensis","Magnoliophyta","Lamiales","Plectranthus kivuensis","Lamiaceae","Plectranthus","kivuensis","herb","2"
"21739","Plectranthus lactiflorus","Magnoliophyta","Lamiales","Plectranthus lactiflorus","Lamiaceae","Plectranthus","lactiflorus","shrub","6"
"21740","Plectranthus lanuginosus","Magnoliophyta","Lamiales","Plectranthus lanuginosus","Lamiaceae","Plectranthus","lanuginosus","herb","42"
"21741","Plectranthus lasianthus","Magnoliophyta","Lamiales","Plectranthus lasianthus","Lamiaceae","Plectranthus","lasianthus","herb","11"
"21742","Plectranthus laxiflorus","Magnoliophyta","Lamiales","Plectranthus laxiflorus","Lamiaceae","Plectranthus","laxiflorus","herb","52"
"21743","Plectranthus leptophyllus","Magnoliophyta","Lamiales","Plectranthus leptophyllus","Lamiaceae","Plectranthus","leptophyllus","shrub","1"
"21744","Plectranthus linearifolius","Magnoliophyta","Lamiales","Plectranthus linearifolius","Lamiaceae","Plectranthus","linearifolius","herb","1"
"21745","Plectranthus longipes","Magnoliophyta","Lamiales","Plectranthus longipes","Lamiaceae","Plectranthus","longipes","herb","25"
"21746","Plectranthus mafiensis","Magnoliophyta","Lamiales","Plectranthus mafiensis","Lamiaceae","Plectranthus","mafiensis","","1"
"21747","Plectranthus malawiensis","Magnoliophyta","Lamiales","Plectranthus malawiensis","Lamiaceae","Plectranthus","malawiensis","herb","8"
"21748","Plectranthus mandalensis","Magnoliophyta","Lamiales","Plectranthus mandalensis","Lamiaceae","Plectranthus","mandalensis","herb","20"
"21749","Plectranthus marrubatus","Magnoliophyta","Lamiales","Plectranthus marrubatus","Lamiaceae","Plectranthus","marrubatus","shrub","2"
"21750","Plectranthus masukensis","Magnoliophyta","Lamiales","Plectranthus masukensis","Lamiaceae","Plectranthus","masukensis","herb","8"
"21751","Plectranthus megacalyx","Magnoliophyta","Lamiales","Plectranthus megacalyx","Lamiaceae","Plectranthus","megacalyx","herb","2"
"21752","Plectranthus melleri","Magnoliophyta","Lamiales","Plectranthus melleri","Lamiaceae","Plectranthus","melleri","herb","36"
"21753","Plectranthus minutiflorus","Magnoliophyta","Lamiales","Plectranthus minutiflorus","Lamiaceae","Plectranthus","minutiflorus","herb","6"
"21754","Plectranthus mirabilis","Magnoliophyta","Lamiales","Plectranthus mirabilis","Lamiaceae","Plectranthus","mirabilis","shrub","2"
"21755","Plectranthus modestus","Magnoliophyta","Lamiales","Plectranthus modestus","Lamiaceae","Plectranthus","modestus","herb","1"
"21756","Plectranthus monostachyus","Magnoliophyta","Lamiales","Plectranthus monostachyus","Lamiaceae","Plectranthus","monostachyus","herb","207"
"21757","Plectranthus monostachyus","Magnoliophyta","Lamiales","Plectranthus monostachyus subsp. monostachyus","Lamiaceae","Plectranthus","monostachyus","herb","207"
"21758","Plectranthus monostachyus","Magnoliophyta","Lamiales","Plectranthus monostachyus subsp. perennis","Lamiaceae","Plectranthus","monostachyus","herb","207"
"21759","Plectranthus monostachyus","Magnoliophyta","Lamiales","Plectranthus monostachyus subsp. lateriticola","Lamiaceae","Plectranthus","monostachyus","herb","207"
"21760","Plectranthus monostachyus","Magnoliophyta","Lamiales","Plectranthus monostachyus subsp. marrubiifolius","Lamiaceae","Plectranthus","monostachyus","herb","207"
"21761","Plectranthus montanus","Magnoliophyta","Lamiales","Plectranthus montanus","Lamiaceae","Plectranthus","montanus","herb","20"
"21762","Plectranthus occidentalis","Magnoliophyta","Lamiales","Plectranthus occidentalis","Lamiaceae","Plectranthus","occidentalis","shrub","60"
"21763","Plectranthus orbicularis","Magnoliophyta","Lamiales","Plectranthus orbicularis","Lamiaceae","Plectranthus","orbicularis","herb","8"
"21764","Plectranthus ornatus","Magnoliophyta","Lamiales","Plectranthus ornatus","Lamiaceae","Plectranthus","ornatus","herb","6"
"21765","Plectranthus otostegioides","Magnoliophyta","Lamiales","Plectranthus otostegioides","Lamiaceae","Plectranthus","otostegioides","shrub","17"
"21766","Plectranthus parvicalyx","Magnoliophyta","Lamiales","Plectranthus parvicalyx","Lamiaceae","Plectranthus","parvicalyx","herb","1"
"21767","Plectranthus parvus","Magnoliophyta","Lamiales","Plectranthus parvus","Lamiaceae","Plectranthus","parvus","herb","14"
"21768","Plectranthus pauciflorus","Magnoliophyta","Lamiales","Plectranthus pauciflorus","Lamiaceae","Plectranthus","pauciflorus","herb","26"
"21769","Plectranthus platyphyllus","Magnoliophyta","Lamiales","Plectranthus platyphyllus","Lamiaceae","Plectranthus","platyphyllus","shrub","4"
"21770","Plectranthus prostratus","Magnoliophyta","Lamiales","Plectranthus prostratus","Lamiaceae","Plectranthus","prostratus","shrub","1"
"21771","Plectranthus pseudomarrubioides","Magnoliophyta","Lamiales","Plectranthus pseudomarrubioides","Lamiaceae","Plectranthus","pseudomarrubioides","herb","9"
"21772","Plectranthus puberulentus","Magnoliophyta","Lamiales","Plectranthus puberulentus","Lamiaceae","Plectranthus","puberulentus","shrub","10"
"21773","Plectranthus pubescens","Magnoliophyta","Lamiales","Plectranthus pubescens","Lamiaceae","Plectranthus","pubescens","herb","6"
"21774","Plectranthus punctatus","Magnoliophyta","Lamiales","Plectranthus punctatus subsp. punctatus","Lamiaceae","Plectranthus","punctatus","herb","71"
"21775","Plectranthus punctatus","Magnoliophyta","Lamiales","Plectranthus punctatus","Lamiaceae","Plectranthus","punctatus","herb","71"
"21776","Plectranthus punctatus","Magnoliophyta","Lamiales","Plectranthus punctatus subsp. lanatus","Lamiaceae","Plectranthus","punctatus","herb","71"
"21777","Plectranthus punctatus","Magnoliophyta","Lamiales","Plectranthus punctatus subsp. edulis","Lamiaceae","Plectranthus","punctatus","herb","71"
"21778","Plectranthus rotundifolius","Magnoliophyta","Lamiales","Plectranthus rotundifolius","Lamiaceae","Plectranthus","rotundifolius","herb","15"
"21779","Plectranthus rungwensis","Magnoliophyta","Lamiales","Plectranthus rungwensis","Lamiaceae","Plectranthus","rungwensis","herb","2"
"21780","Plectranthus sallyae","Magnoliophyta","Lamiales","Plectranthus sallyae","Lamiaceae","Plectranthus","sallyae","shrub","1"
"21781","Plectranthus sanguineus","Magnoliophyta","Lamiales","Plectranthus sanguineus","Lamiaceae","Plectranthus","sanguineus","shrub","4"
"21782","Plectranthus saxicola","Magnoliophyta","Lamiales","Plectranthus saxicola","Lamiaceae","Plectranthus","saxicola","shrub","7"
"21783","Plectranthus scandens","Magnoliophyta","Lamiales","Plectranthus scandens","Lamiaceae","Plectranthus","scandens","liana","1"
"21784","Plectranthus scebeli","Magnoliophyta","Lamiales","Plectranthus scebeli","Lamiaceae","Plectranthus","scebeli","herb","1"
"21785","Plectranthus schizophyllus","Magnoliophyta","Lamiales","Plectranthus schizophyllus","Lamiaceae","Plectranthus","schizophyllus","herb","7"
"21786","Plectranthus scopulicola","Magnoliophyta","Lamiales","Plectranthus scopulicola","Lamiaceae","Plectranthus","scopulicola","shrub","2"
"21787","Plectranthus seretii","Magnoliophyta","Lamiales","Plectranthus seretii","Lamiaceae","Plectranthus","seretii","herb","9"
"21788","Plectranthus shirensis","Magnoliophyta","Lamiales","Plectranthus shirensis","Lamiaceae","Plectranthus","shirensis","herb","10"
"21789","Plectranthus sp.nov.","Magnoliophyta","Lamiales","Plectranthus sp.nov.","Lamiaceae","Plectranthus","sp.nov.","herb","1"
"21790","Plectranthus stachyoides","Magnoliophyta","Lamiales","Plectranthus stachyoides","Lamiaceae","Plectranthus","stachyoides","shrub","4"
"21791","Plectranthus stenosiphon","Magnoliophyta","Lamiales","Plectranthus stenosiphon","Lamiaceae","Plectranthus","stenosiphon","herb","8"
"21792","Plectranthus stolzii","Magnoliophyta","Lamiales","Plectranthus stolzii","Lamiaceae","Plectranthus","stolzii","shrub","1"
"21793","Plectranthus strangulatus","Magnoliophyta","Lamiales","Plectranthus strangulatus","Lamiaceae","Plectranthus","strangulatus","shrub","6"
"21794","Plectranthus swynnertonii","Magnoliophyta","Lamiales","Plectranthus swynnertonii","Lamiaceae","Plectranthus","swynnertonii","shrub","4"
"21795","Plectranthus sylvestris","Magnoliophyta","Lamiales","Plectranthus sylvestris","Lamiaceae","Plectranthus","sylvestris","shrub","21"
"21796","Plectranthus tenuicaulis","Magnoliophyta","Lamiales","Plectranthus tenuicaulis","Lamiaceae","Plectranthus","tenuicaulis","herb","21"
"21797","Plectranthus tetragonus","Magnoliophyta","Lamiales","Plectranthus tetragonus","Lamiaceae","Plectranthus","tetragonus","shrub","10"
"21798","Plectranthus triangularis","Magnoliophyta","Lamiales","Plectranthus triangularis","Lamiaceae","Plectranthus","triangularis","shrub","27"
"21799","Plectranthus trullatus","Magnoliophyta","Lamiales","Plectranthus trullatus","Lamiaceae","Plectranthus","trullatus","shrub","15"
"21800","Plectranthus verticillatus","Magnoliophyta","Lamiales","Plectranthus verticillatus","Lamiaceae","Plectranthus","verticillatus","herb","1"
"21801","Plectranthus vesicularis","Magnoliophyta","Lamiales","Plectranthus vesicularis","Lamiaceae","Plectranthus","vesicularis","herb","1"
"21802","Plectranthus viphyensis","Magnoliophyta","Lamiales","Plectranthus viphyensis","Lamiaceae","Plectranthus","viphyensis","herb","5"
"21803","Plectranthus wollastonii","Magnoliophyta","Lamiales","Plectranthus wollastonii","Lamiaceae","Plectranthus","wollastonii","shrub","1"
"21804","Plectranthus xylopodus","Magnoliophyta","Lamiales","Plectranthus xylopodus","Lamiaceae","Plectranthus","xylopodus","shrub","1"
"21805","Plectranthus zombensis","Magnoliophyta","Lamiales","Plectranthus zombensis","Lamiaceae","Plectranthus","zombensis","shrub","20"
"21806","Plectrelminthus caudatus","Magnoliophyta","Asparagales","Plectrelminthus caudatus var. caudatus","Orchidaceae","Plectrelminthus","caudatus","epiphyte","43"
"21807","Plectrelminthus caudatus","Magnoliophyta","Asparagales","Plectrelminthus caudatus","Orchidaceae","Plectrelminthus","caudatus","epiphyte","43"
"21808","Plectrelminthus caudatus","Magnoliophyta","Asparagales","Plectrelminthus caudatus var. trilobatus","Orchidaceae","Plectrelminthus","caudatus","epiphyte","43"
"21809","Plectronia longistyla","Magnoliophyta","Gentianales","Plectronia longistyla","Rubiaceae","Plectronia","longistyla","","1"
"21810","Plectroniella armata","Magnoliophyta","Gentianales","Plectroniella armata","Rubiaceae","Plectroniella","armata","tree","6"
"21811","Pleiocarpa bicarpellata","Magnoliophyta","Gentianales","Pleiocarpa bicarpellata","Apocynaceae","Pleiocarpa","bicarpellata","shrub","77"
"21812","Pleiocarpa brevistyla","Magnoliophyta","Gentianales","Pleiocarpa brevistyla","Apocynaceae","Pleiocarpa","brevistyla","shrub","7"
"21813","Pleiocarpa mutica","Magnoliophyta","Gentianales","Pleiocarpa mutica","Apocynaceae","Pleiocarpa","mutica","shrub","154"
"21814","Pleiocarpa picralimoides","Magnoliophyta","Gentianales","Pleiocarpa picralimoides","Apocynaceae","Pleiocarpa","picralimoides","tree","4"
"21815","Pleiocarpa pycnantha","Magnoliophyta","Gentianales","Pleiocarpa pycnantha","Apocynaceae","Pleiocarpa","pycnantha","shrub","115"
"21816","Pleiocarpa rostrata","Magnoliophyta","Gentianales","Pleiocarpa rostrata","Apocynaceae","Pleiocarpa","rostrata","shrub","70"
"21817","Pleioceras afzelii","Magnoliophyta","Gentianales","Pleioceras afzelii","Apocynaceae","Pleioceras","afzelii","tree","7"
"21818","Pleioceras barteri","Magnoliophyta","Gentianales","Pleioceras barteri","Apocynaceae","Pleioceras","barteri","shrub","84"
"21819","Pleioceras gilletii","Magnoliophyta","Gentianales","Pleioceras gilletii","Apocynaceae","Pleioceras","gilletii","liana","10"
"21820","Pleioceras orientale","Magnoliophyta","Gentianales","Pleioceras orientale","Apocynaceae","Pleioceras","orientale","tree","7"
"21821","Pleioceras zenkeri","Magnoliophyta","Gentianales","Pleioceras zenkeri","Apocynaceae","Pleioceras","zenkeri","tree","7"
"21822","Pleiocoryne fernandensis","Magnoliophyta","Gentianales","Pleiocoryne fernandensis","Rubiaceae","Pleiocoryne","fernandensis","liana","90"
"21823","Pleiotaxis antunesii","Magnoliophyta","Asterales","Pleiotaxis antunesii","Asteraceae","Pleiotaxis","antunesii","herb","4"
"21824","Pleiotaxis bampsiana","Magnoliophyta","Asterales","Pleiotaxis bampsiana","Asteraceae","Pleiotaxis","bampsiana","herb","9"
"21825","Pleiotaxis chlorolepis","Magnoliophyta","Asterales","Pleiotaxis chlorolepis","Asteraceae","Pleiotaxis","chlorolepis","herb","5"
"21826","Pleiotaxis decipiens","Magnoliophyta","Asterales","Pleiotaxis decipiens","Asteraceae","Pleiotaxis","decipiens","herb","5"
"21827","Pleiotaxis dewevrei","Magnoliophyta","Asterales","Pleiotaxis dewevrei","Asteraceae","Pleiotaxis","dewevrei","shrublet","45"
"21828","Pleiotaxis duvigneaudii","Magnoliophyta","Asterales","Pleiotaxis duvigneaudii","Asteraceae","Pleiotaxis","duvigneaudii","","8"
"21829","Pleiotaxis eximia","Magnoliophyta","Asterales","Pleiotaxis eximia subsp. eximia","Asteraceae","Pleiotaxis","eximia","shrub","10"
"21830","Pleiotaxis eximia","Magnoliophyta","Asterales","Pleiotaxis eximia","Asteraceae","Pleiotaxis","eximia","shrub","10"
"21831","Pleiotaxis fulva","Magnoliophyta","Asterales","Pleiotaxis fulva","Asteraceae","Pleiotaxis","fulva","shrublet","8"
"21832","Pleiotaxis gombensis","Magnoliophyta","Asterales","Pleiotaxis gombensis","Asteraceae","Pleiotaxis","gombensis","herb","2"
"21833","Pleiotaxis huillensis","Magnoliophyta","Asterales","Pleiotaxis huillensis subsp. argentea","Asteraceae","Pleiotaxis","huillensis","shrub","3"
"21834","Pleiotaxis huillensis","Magnoliophyta","Asterales","Pleiotaxis huillensis","Asteraceae","Pleiotaxis","huillensis","shrub","3"
"21835","Pleiotaxis jeffreyana","Magnoliophyta","Asterales","Pleiotaxis jeffreyana","Asteraceae","Pleiotaxis","jeffreyana","herb","2"
"21836","Pleiotaxis lawalreeana","Magnoliophyta","Asterales","Pleiotaxis lawalreeana","Asteraceae","Pleiotaxis","lawalreeana","","7"
"21837","Pleiotaxis lejolyana","Magnoliophyta","Asterales","Pleiotaxis lejolyana","Asteraceae","Pleiotaxis","lejolyana","herb","12"
"21838","Pleiotaxis macrophylla","Magnoliophyta","Asterales","Pleiotaxis macrophylla","Asteraceae","Pleiotaxis","macrophylla","herb","15"
