"idrb","decimalLatitude","decimalLongitude","tax_sp_level","family","genus","specificEpithet","species","country","countryCode","verif_iso3","verif_coast","verif_distance","locality"
146558,NA,NA,"Cucumis sativus","Cucurbitaceae","Cucumis","sativus","Cucumis sativus","Tanzania","TZA","NO COORDINATES","NO COORDINATES",NA,"T6 University Campus, behind Zoology Dept."
147042,NA,NA,"Sonneratia alba","Lythraceae","Sonneratia","alba","Sonneratia alba","Tanzania","TZA","NO COORDINATES","NO COORDINATES",NA,"Kigombe beach, 7 miles NE of Pangani, Tanga District"
147058,NA,NA,"Cicer arietinum","Fabaceae","Cicer","arietinum","Cicer arietinum","Tanzania","TZA","NO COORDINATES","NO COORDINATES",NA,"Lushoto district, Forestry house; shagai saw-mill nr. sunga, West Usambaras."
147539,-0.1,37.1167,"Anthriscus sylvestris","Apiaceae","Anthriscus","sylvestris","Anthriscus sylvestris var. sylvestris","Kenya","KEN","OK","OK",NA,"Kenia. Mt. Aberdare. Mt Kenia occid.: pr. Forest Station."
147877,0.766667,24.45,"Adiantum macrophyllum","Dennstaedtiaceae","Adiantum","macrophyllum","Adiantum macrophyllum","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi, champ d'Hévéa."
148236,0.05,18.3167,"Exallage auricularia","Rubiaceae","Exallage","auricularia","Exallage auricularia","Congo - Kinshasa","COD","OK","OK",NA,"Eala"
148492,0.766667,24.45,"Pachira glabra","Malvaceae","Pachira","glabra","Pachira glabra","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi, réserve forestière de l'INEAC."
148493,0.766667,24.45,"Pachira glabra","Malvaceae","Pachira","glabra","Pachira glabra","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi,réserve forestière de l'INEAC"
148503,NA,NA,"Ochroma pyramidale","Malvaceae","Ochroma","pyramidale","Ochroma pyramidale","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,""
148507,NA,NA,"Ochroma pyramidale","Malvaceae","Ochroma","pyramidale","Ochroma pyramidale","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,""
148599,-0.57,35.99,"Phalaris caesia","Poaceae","Phalaris","caesia","Phalaris caesia","Kenya","KEN","OK","OK",NA,"Masailand, Narok Dist. 18 miles from Olokurto on the road to Elburgon."
148620,NA,NA,"Euphorbia pseudograntii","Euphorbiaceae","Euphorbia","pseudograntii","Euphorbia pseudograntii","Tanzania","TZA","NO COORDINATES","NO COORDINATES",NA,"Langenburg, Ukangu-Berg"
148649,-0.42,36.96,"Phalaris caesia","Poaceae","Phalaris","caesia","Phalaris caesia","Kenya","KEN","OK","OK",NA,"Chania River"
